label,statement,subjects,neutral_statement
False,I never favored cap and trade .,"cap-and-trade,climate-change,environment","assistant

Cap and trade has been a topic of debate."
False,The runnerup to Caitlyn Jenner for ESPNs Arthur Ashe Courage Award was Army veteran Noah Galloway who lost an arm and leg to a roadside bomb in Iraq .,"pop-culture,sports","assistant

Noah Galloway, an Army veteran, was the runner-up for the ESPN Arthur Ashe Courage Award. He lost an arm and a leg in an incident involving a roadside bomb in Iraq."
True,Every year the state loses 8000-10000 acres of land in bear country .,environment,"assistant

The state experiences annual land loss in bear country, estimated to be between 8,000 and 10,000 acres."
True,Caution : Kissing and cuddling chickens can be hazardous to your health .,"agriculture,animals,food-safety,public-health,urban","assistant

Kissing and cuddling chickens can pose health risks."
True,Says Connie Mack is protecting Chevron oil from a multi-billion dollar lawsuit over pollution of rivers and rainforests .,"congress,oil-spill","assistant

Connie Mack is advocating for Chevron in a case involving a multi-billion dollar lawsuit related to environmental damage in rivers and rainforests."
True,Theyre paying a less rate of tax - these richest people in America - than they have in the last 80 years .,"taxes,wealth","assistant

The wealthiest individuals in the United States are currently paying a lower tax rate than they have in the past 80 years."
True,The coalition of Arab states against Libyas Moammar Gadhafi is the biggest coalition against a fellow Arab leader since the Persian Gulf War in 1990-1991 .,"foreign-policy,military,abc-news-week","assistant

The coalition of Arab states opposing Libyan leader Moammar Gadhafi is the largest coalition against an Arab leader since the Persian Gulf War in 1990-1991."
True,The CBO says if we raise the minimum wage the way Charlie (Crist) wants to do it it would lose 500000 jobs .,"economy,jobs,workers","assistant

The Congressional Budget Office (CBO) estimates that raising the minimum wage to the level proposed by Charlie Crist could result in a loss of approximately 500,000 jobs."
True,The Obama administration is using as its legal justification for these airstrikes (on the Islamic State) an authorization for military force that the president himself has called for repeal of .,"iraq,terrorism","assistant

The Obama administration is relying on an authorization for military force as its legal justification for these airstrikes against the Islamic State."
True,Florida is enjoying its lowest crime rate in 39 years .,crime,"assistant

Florida has experienced a decrease in crime rates over the past few years."
True,There has never been a panther attack in the history of Florida .,environment,"assistant

There have been no documented panther attacks in the history of Florida."
False,In this judicial race special interest groups have demanded money from me in exchange for endorsement and support .,"elections,ethics","assistant

In this judicial race, special interest groups have requested financial contributions in exchange for their endorsement and support."
True,Before Medicare only 51 percent of Americans 65 and older had health care coverage and nearly 30 percent lived below the poverty line . Today thanks to Medicare . nearly all seniors have coverage and 75 percent fewer struggle in poverty .,"medicare,poverty","assistant

Prior to the implementation of Medicare, approximately 51 percent of Americans aged 65 and older had health care coverage, and nearly 30 percent lived below the poverty line. Following the introduction of Medicare, nearly all seniors have access to health care coverage, and the percentage of seniors living below the poverty line has decreased significantly."
False,Says the federal government hosted a conference and ordered 250 muffins at 16 bucks a piece .,"federal-budget,pundits","assistant

The federal government ordered 250 muffins at a cost of $16 each."
False,Says the Simpson-Bowles deficit reduction proposal went from President Barack Obamas desk to the garbage can .,"deficit,federal-budget,new-hampshire-2012","assistant

The Simpson-Bowles deficit reduction proposal was not adopted by the administration of President Barack Obama."
True,Fifty-six percent decline in overall crime . A 73 percent decline in motor-vehicle theft . A 67 percent decline in robbery . A 66 percent decline in murder . This is way beyond what happened in the nation during this period of time . crime	rudy-giuliani	Attorney	New York	republican	9	11	10	7	3	New York N.Y. 5122.json	mostly-true	In 1958 there were 16 states in this country that prohibited - prohibited - an African-American and a Caucasian from being married . civil-rightsgays-and-lesbiansmarriage	sheila-oliver	Assemblywoman	New Jersey	democrat	0	1	1	3	0	a news conference 11191.json	true	Says Donald Trump has changed his mind on abortion . abortion	carly-fiorina California	republican	5	5	4	3	2	the first Republican presidential debate 10315.json	mostly-true	It has been many years if ever since an inmate has completed his or her high school diploma while incarcerated in a state correctional facility for adults . corrections-and-updatescriminal-justicepublic-safety	lc-buster-evans	Assistant Commissioner	Georgia	none	0	0	0	1	0	in a press release 1964.json	mostly-true	Says U.S. Rep . Michael McCaul is the sixth-richest person in Congress . candidates-biography	ted-ankrum	Retired	Texas	democrat	0	1	0	1	0	a speech 624.json	true	McCain is raising campaign cash with one of (Jack) Abramoff s closest business partners : scandal-plagued conservative activist Ralph Reed .,ethics,"assistant

Here is the rewritten statement in a neutral, objective tone:

There was a 56% decline in overall crime. Motor-vehicle theft decreased by 73%, robbery by 67%, and murder by 66%. These crime rates declined more significantly than the national average during this period. 

In 1958, 16 states prohibited interracial marriage between African-Americans and Caucasians. 

Donald Trump has"
True,More than 10 years of free trade has brought a $2 billion per day trade deficit .,"economy,trade","assistant

The United States has experienced a trade deficit of approximately $2 billion per day over the past decade."
False,Says Kurt Schrader voted to cut $500 billion from Medicare threatening thousands of Oregon seniors and their access to their current coverage .,"health-care,medicare,message-machine","assistant

Kurt Schrader voted to reduce Medicare spending by $500 billion."
True,Believe it or not consumer spending is up over the last eight months .,economy,"assistant

Consumer spending has increased over the last eight months."
True,Under Common Core standards it takes more than a minute to teach a student how to add nine plus six .,education,"assistant

Under the Common Core standards, the process of teaching a student to add nine plus six can be a multi-step process."
True,Rick Scott says he supported in-state tuition for Dreamers while Charlie Crist was against it .,"education,immigration","assistant

Rick Scott has stated that he supported in-state tuition for Dreamers, whereas Charlie Crist opposed it."
True,Black children constitute 18 percent of the nations public school population but 40 percent of the children who are suspended or expelled .,"civil-rights,education","assistant

Black children make up 18 percent of the nation's public school population, but they account for 40 percent of the students who are suspended or expelled."
True,I opposed TPP (Trans-Pacific Partnership) and have always opposed TPP .,trade,"assistant

I have expressed opposition to the TPP (Trans-Pacific Partnership)."
False,President Obama and liberal former DNC Chairman Tim Kaines $787 billion stimulus failed to create jobs .,"deficit,economy,stimulus","assistant

The American Recovery and Reinvestment Act, a stimulus package signed into law by President Obama in 2009, which was championed by then-DNC Chairman Tim Kaine, allocated $787 billion in funding."
True,Says that during his eight years as Florida governor we created 1.3 million net new jobs - more jobs created than Texas .,"economy,jobs","assistant

During his eight years as Florida governor, the state experienced a net gain of 1.3 million new jobs."
True,Marco Rubio s income skyrocketed while his power increased .,candidates-biography,"assistant

Marco Rubio's income increased significantly as his political influence grew."
True,This ban will only apply to Oregon commercial fishermen . Washington commercial fishermen would still be allowed to use gillnets on the Columbia River .,"elections,environment,government-regulation","assistant

The ban will only apply to Oregon commercial fishermen. Washington commercial fishermen will still be allowed to use gillnets on the Columbia River."
True,Says Republican recall challenger Jonathan Steitz failed to pay his taxes .,"candidates-biography,taxes","assistant

Jonathan Steitz, a Republican recall challenger, has been accused of failing to pay his taxes."
False,In six years (U.S. Rep . Gary) Peters introduced zero bills that became law .,"congress,corrections-and-updates,voting-record","assistant

U.S. Rep. Gary Peters introduced zero bills that became law in six years."
True,Measures taken by my administration have saved taxpayers $1 billion .,state-budget,"assistant

The administration has reported a savings of $1 billion in taxpayer funds."
True,Says his proposed payroll tax cut will mean an extra $1500 in your pocket compared to if we do nothing .,"economy,jobs,taxes","assistant

His proposed payroll tax cut would result in an additional $1500 in take-home pay compared to the current tax structure."
True,In last weeks debate Bernie questioned Hillarys commitment to fighting climate change because a whopping 0.2 percent of the money given to our campaign has come from employees of oil and gas companies . Not even 2 percent mind you : 0.2 percent .,"campaign-finance,energy,environment","assistant

During the recent debate, Bernie questioned Hillary's commitment to addressing climate change, citing that only 0.2 percent of the campaign's funding comes from employees of oil and gas companies."
True,A few months ago when you were asked whats the biggest geopolitical threat facing America you said Russia .,"corrections-and-updates,debates,foreign-policy","assistant

In a previous discussion, you mentioned that Russia was identified as a significant geopolitical threat to the United States."
True,Says his views on reparations for slavery are the same as Barack Obamas and Hillary Clintons .,"diversity,income,poverty","assistant

He shares similar views on reparations for slavery with Barack Obama and Hillary Clinton."
False,Says the National Labor Relations Board told Boeing that it cant build a factory in a non-union state .,"labor,new-hampshire-2012","assistant

The National Labor Relations Board informed Boeing that it cannot build a factory in a non-union state."
True,Says by rejecting an expansion of Medicaid under the new law Georgia was depriving 25000 veterans of health care coverage .,"health-care,veterans","assistant

Georgia's decision not to expand Medicaid under the new law means that approximately 25,000 veterans may not have access to health care coverage."
False,Says the case of a Texas judge who refused to perform heterosexual weddings exposes a double standard in the case against Kentucky clerk Kim Davis .,"gays-and-lesbians,legal-issues,religion","assistant

The case of a Texas judge who declined to perform heterosexual weddings highlights a perceived inconsistency in the treatment of individuals who object to performing same-sex weddings."
False,Obamacare will drive 2.5 million Americans out of the workforce .,"health-care,jobs","assistant

The Affordable Care Act (ACA), also known as Obamacare, is expected to lead to a reduction in the workforce of approximately 2.5 million Americans."
True,After laying off 30000 peopleCarly Fiorina said that in retrospect I would have done them all faster .,"candidates-biography,corporations,jobs","assistant

Carly Fiorina stated that in retrospect, she would have implemented the layoffs more quickly."
False,Peter Kilmartin voted for the 38 Studios loan guarantee and his State House job was to twist [legislators] arms to vote for deals like this .,"bankruptcy,baseball,economy,history,jobs,message-machine-2014,campaign-advertising,state-budget,state-finances","assistant

Peter Kilmartin voted for the 38 Studios loan guarantee, and as a State House representative, he was responsible for advocating for the passage of deals like this."
False,On Donald Trumps track record in business,candidates-biography,"assistant

Donald Trump's business career has been marked by various ventures and investments."
True,Eleven states complete their [legislative] sessions within three calendar months and another five only meet biennially .,"elections,government-efficiency","assistant

Eleven states complete their legislative sessions within three calendar months, while five states meet biennially."
True,With the exception of baby formula the federal government does not require any food to carry an expiration date and state laws vary widely .,"corrections-and-updates,food-safety","assistant

The federal government does not require expiration dates on most foods, with the exception of baby formula. State laws regarding expiration dates on food products vary."
True,On my first day in office I ordered a review of every regulation in the pipeline and every contract exceeding $1 million .,state-budget,"assistant

Upon taking office, I initiated a comprehensive review of all pending regulations and contracts valued at over $1 million."
False,The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island .,"economy,education,government-efficiency,state-budget","assistant

The state's expenditure on its legislature is comparable to its expenditure on the University of Rhode Island."
False,Says Sean Duffy was a no-show as Ashland County District Attorney while he was on the campaign trail,"job-accomplishments,message-machine","assistant

Sean Duffy was absent from his role as Ashland County District Attorney while he was campaigning."
False,Beaverton enjoys the most diverse population (by percentage of population) among Oregon cities .,diversity,"assistant

Beaverton has the highest percentage of diverse population among Oregon cities."
False,Evidence shows Zika virus turns fetus brains to liquid .,public-health,"assistant

The Zika virus has been linked to severe brain abnormalities in fetuses."
False,Says after leaving the White House Hillary Clinton was forced to return an estimated $200000 in White House china furniture and artwork that she had stolen .,ethics,"assistant

After leaving the White House, Hillary Clinton was required to return an estimated $200,000 in White House china, furniture, and artwork."
False,Georgia is the Saudi Arabia of pine trees .,energy,"assistant

Georgia is a significant producer of pine trees."
True,U.S. Senate candidate Jack Kingston voted for the Cash for Clunkers program .,federal-budget,"assistant

U.S. Senate candidate Jack Kingston supported the Cash for Clunkers program."
True,Put simply less government spending equals more private sector jobs .,"economy,federal-budget,jobs,stimulus","assistant

Reducing government spending can lead to an increase in private sector employment."
False,I turned a $110 million deficit into a $1.6 million surplus for our city .,"candidates-biography,city-budget,city-government,debt,deficit,economy,history,taxes,unions","assistant

The city's budget was adjusted to transform a $110 million deficit into a $1.6 million surplus."
True,Seventy percent of Americans dont have a college degree .,"corrections-and-updates,education","assistant

Approximately 70% of Americans do not hold a college degree."
False,Under the plan for the first five years your employer not only has to keep the coverage but you can t migrate to the public plan .,health-care,"assistant

Under the plan for the first five years, employers are required to maintain coverage, and individuals also have the option to switch to the public plan."
False,Says the oil industry subsidies that President Barack Obama is attacking dont exist,"energy,taxes","assistant

The oil industry has stated that the subsidies being targeted by President Barack Obama do not exist."
True,President Barack Obamas veto of the Keystone XL pipeline killed 42000 jobs .,"energy,jobs","assistant

President Barack Obama's veto of the Keystone XL pipeline led to the loss of approximately 42,000 jobs."
True,John McCain decided to stand with George Bush 95 percent of the time (last year).,bush-administration,"assistant

John McCain voted with George Bush's position 95 percent of the time in the previous year."
False,Says Bill Pascrell voted to eliminate all estate taxes for billionaires and I voted no .,"message-machine-2012,taxes","assistant

Bill Pascrell voted to eliminate all estate taxes for billionaires, and I voted against it."
True,In Hillary Clintons tax returns you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well .,"candidates-biography,income","assistant

Hillary Clinton's tax returns show income from the Clinton Foundation and individuals who had business dealings with the State Department during her tenure."
True,Says that when the Rolling Stones performed in an Austin park they paid $25000 to the nearby city of Rollingwood for one night of inconvenience .,"city-government,recreation","assistant

The Rolling Stones performed in a park in Austin and paid $25,000 to the nearby city of Rollingwood for the use of the venue."
False,Says the NAACPs Ohio chapter has endorsed Issue 2.,"elections,redistricting","assistant

The NAACP's Ohio chapter has endorsed Issue 2."
True,Florida led the nation in job creation while Bush was governor .,"candidates-biography,economy,florida","assistant

During his tenure as governor, Florida experienced significant job growth."
True,Says Marco Rubio knows full well I voted for his amendment to increase military spending to $697 billion .,"federal-budget,military,voting-record","assistant

Marco Rubio is aware that I voted in favor of his amendment to increase military spending to $697 billion."
True,Says Joe Heck voted to shut down the government .,voting-record,"assistant

Joe Heck voted in favor of a government shutdown."
True,Oil production is down 14 percent this year on federal land .,energy,"assistant

Oil production on federal land has decreased by 14 percent this year."
True,Of the 98 top oxycodone-dispensing doctors who used to live in Florida today there are none .,"criminal-justice,drugs,florida,public-safety","assistant

Out of the 98 top oxycodone-dispensing doctors who previously resided in Florida, none currently reside there."
True,A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession .,"income,jobs","assistant

A white family is likely to have significantly more wealth than a black or Hispanic family following the recession."
False,John McCain has changed position on invading Iraq .,iraq,"assistant

John McCain has altered his stance on invading Iraq."
False,State employees are actually going to get a pay raise .,state-budget,"assistant

State employees are scheduled to receive a pay increase."
True,A Texas law requires every high school to have a voter registrar and part of their responsibility is to make sure that when children become 18 and become eligible to vote that they vote .,"education,elections","assistant

A Texas law requires every high school to have a voter registrar, and part of their responsibility is to inform students about the voting process and provide information on how to register to vote when they become eligible at the age of 18."
True,Federal spending on entitlements is projected to consume all revenue by 2045 .,"federal-budget,health-care,medicaid,medicare,social-security","assistant

Federal spending on entitlement programs, including Medicare, Medicaid, and Social Security, is projected to account for a significant portion of the federal budget by 2045."
False,Congressman Kasich wants to use our tax dollars to give secret bonuses to his corporate friends .,"economy,jobs,message-machine,state-budget,transparency","assistant

Congressman Kasich proposes using taxpayer funds for bonuses to certain corporations."
False,The Democrat majority in the Senate has failed to submit [a] budget in the past 1000 days .,federal-budget,"assistant

The Senate has not passed a budget in the past 1000 days."
True,Says Rick Perry increased spending in Texas by more than 50 percent .,"state-budget,state-finances","assistant

Texas state spending increased by more than 50 percent during Rick Perry's tenure."
True,Says as a share of the US economy the governments support for research and development (RD) has fallen by nearly two-thirds since the 1960s .,"federal-budget,science","assistant

The government's support for research and development (R&D) as a share of the US economy has decreased by nearly two-thirds since the 1960s."
False,Says Texas Republican leaders have proposed laying off thousands of teachers .,"education,jobs","assistant

Texas Republican leaders have proposed reducing the number of teachers."
False,The Democratic health care bill in the House would create 53 new government bureaucracies .,health-care,"assistant

The proposed Democratic health care bill in the House would establish 53 new government agencies or entities."
True,Says that Donald Trump supported Charlie Crist .,"campaign-finance,candidates-biography","assistant

I do not have information on the original statement."
True,Dollar General added 2500 stores and 20000 jobs during his four-year tenure as CEO .,candidates-biography,"assistant

During his four-year tenure as CEO, Dollar General added 2,500 stores and 20,000 jobs."
False,Property tax exemptions can be granted to small businesses that move into Milwaukee County .,"jobs,small-business,taxes","assistant

Property tax exemptions may be available to small businesses that relocate to Milwaukee County."
False,Gov . Sarah Palin got precisely zero support for her call for Alaskas Democratic Senator Mark Begich to resign because Ted Stevens corruption conviction was overturned .,"elections,pundits","assistant

Governor Sarah Palin called for Alaska's Democratic Senator Mark Begich to resign following the overturn of Ted Stevens' corruption conviction."
True,Says overwhelming majorities of Americans support gun legislation like background checks .,"civil-rights,crime,guns","assistant

Majorities of Americans support the implementation of background checks for gun purchases."
False,Under the DREAM Act after two years of higher education or military service you are eligible for citizenship . Once a citizen this paves the way to bring the rest of (your) extended family to the United States .,immigration,"assistant

Under the DREAM Act, individuals who meet certain requirements, such as completing two years of higher education or serving in the military, may be eligible for a pathway to citizenship. Once citizenship is obtained, it can facilitate the process of sponsoring family members for immigration to the United States."
True,Since President Barack Obama took office 2 million more Americans are out of work .,economy,"assistant

Between 2009 and the end of President Barack Obama's term, the number of unemployed Americans increased by approximately 2 million."
False,Says opponent David Dewhurst is a career politician .,candidates-biography,"assistant

David Dewhurst has a background in politics."
False,Says Virginia economic development officials decided they didnt want to bid on his companys electric automobile plant .,"candidates-biography,china,economy,energy","assistant

Virginia economic development officials chose not to pursue a bid for the company's electric automobile plant."
False,The State Department says the 42000 jobs created by the Keystone XL pipeline are ongoing enduring jobs .,"energy,jobs","assistant

The State Department states that the Keystone XL pipeline is expected to create approximately 42,000 jobs."
False,Wisconsins new state budget includes a 15 percent increase for road construction and yet weve got local towns tearing up paved roads and replacing them with gravel .,"campaign-finance,state-budget,transportation","assistant

Wisconsin's new state budget allocates a 15 percent increase for road construction. However, some local towns are choosing to repave roads with gravel instead of maintaining existing pavement."
True,The Obama administration is refusing to directly arm the Kurds .,"foreign-policy,iraq,terrorism","assistant

The US government has not provided direct military aid to the Kurdish forces."
False,The Obama administrations green stimulus program funneled close to $2 billion dollars to overseas firms creating thousands of jobs in China .,"china,jobs,message-machine-2012,stimulus","assistant

The Obama administration's green stimulus program allocated approximately $2 billion to overseas firms, resulting in the creation of thousands of jobs in China."
True,The worlds 62 richest people own the same wealth as the 3.6 billion poorest .,poverty,"assistant

The world's 62 richest individuals possess a combined wealth equivalent to that of the approximately 3.6 billion people who are considered to be among the poorest."
True,There are approximately 18000 (police) departments in the United States .,"crime,criminal-justice","assistant

There are approximately 18,000 law enforcement agencies in the United States."
False,The cost-of-living increase in Social Security is tied to wage inflation .,social-security,"assistant

The cost-of-living adjustment (COLA) for Social Security benefits is based on the rate of inflation."
True,Nearly a quarter of all adults in this state have some college credit without a degree .,"economy,education,jobs","assistant

Approximately 25% of adults in this state have some college credit but do not hold a degree."
True,Of the more than 1.3 million temporary mortgage modifications over half have defaulted .,housing,"assistant

More than half of the over 1.3 million temporary mortgage modifications have resulted in default."
True,Republicans tried to block the deficit commission .,federal-budget,"assistant

The Republican party opposed the deficit commission."
True,The state is able to sharply curtail contract bargaining rights for state employee unions .,"jobs,labor,state-budget","assistant

The state is considering limiting contract bargaining rights for state employee unions."
True,On his support for sharply limiting collective bargaining by public employees .,"labor,state-budget","assistant

On his stance regarding collective bargaining by public employees."
True,Georgia is one of only about seven states in the country that has a AAA bond rating .,state-finances,"assistant

Georgia has a AAA bond rating, one of a limited number of states in the country to hold this rating."
True,Rick Perry attempted to fast-track unnecessary coal-fired power plants which degrade air quality and would cost billions . Fortunately a court stopped him .,environment,"assistant

Rick Perry attempted to expedite the construction of coal-fired power plants. A court intervened, halting the process."
True,Two years ago Providence alone spent $50000 a year notifying the school department about residents in the states sex offender registry .,"children,crime,criminal-justice","assistant

Providence spent $50,000 annually two years ago to inform the school department about residents listed on the state's sex offender registry."
False,In many instances (peoples) health care costs are more than their mortgage costs or their rent which by the way is a first in American history .,"economy,government-regulation,health-care,history,market-regulation","assistant

In many cases, healthcare costs exceed housing expenses, such as mortgage payments or rent, marking a notable shift in the financial priorities of many individuals."
True,Since the passage of Obamas stimulus package over 1 million additional jobs were lost and nearly 25 million Americans are out of work are stuck in part-time work or have given up looking .,"jobs,stimulus","assistant

Since the passage of the stimulus package, over 1 million additional jobs were lost, and nearly 25 million Americans are either out of work, stuck in part-time work, or have given up looking for employment."
True,Three in four low-income workers dont have any paid sick days available .,"health-care,income,labor,public-health,workers","assistant

Approximately 75% of low-income workers do not have access to paid sick leave."
False,Says Vince Polistina is collecting nearly $70000 in taxpayer-funded salaries - plus a government pension .,"income,pensions","assistant

Vince Polistina is receiving approximately $70,000 in taxpayer-funded salaries, in addition to a government pension."
False,The Department of Health and Human Services is providing $160 million to the state of Pennsylvania to set up a new high-risk insurance pool program that would cover any abortion legal in the state .,"abortion,health-care","assistant

The Department of Health and Human Services is allocating $160 million to the state of Pennsylvania to establish a new high-risk insurance pool program that would cover certain medical procedures, including those related to abortion, which are permitted under state law."
True,We have SAT scores lower than that of Alabama .,"education,message-machine","assistant

Our state's average SAT scores are lower than those of Alabama."
False,Boston Marathon bombing suspect Tamerlan Tsarnaev is buried not far from President Kennedys grave .,"crime,history,islam,pundits,religion,terrorism","assistant

Tamerlan Tsarnaev, a suspect in the Boston Marathon bombing, was buried in a cemetery in Virginia, near the gravesite of President John F. Kennedy."
True,Gov . Romneys plan would cut taxes for the folks at the very top .,"message-machine-2012,taxes","assistant

Romney's plan would reduce taxes for high-income individuals."
True,Says David Prosser = Scott Walker .,"candidates-biography,job-accomplishments,labor,state-budget","assistant

David Prosser and Scott Walker."
False,Politician Reid Ribble wants to phase out Social Security forcing Wisconsin seniors to fend for themselves .,"message-machine,social-security","assistant

Reid Ribble has proposed phasing out Social Security, which could potentially leave Wisconsin seniors without a guaranteed source of income."
False,Says Houstons 18th congressional district has been gentrified and is home to more Anglos than African Americans .,"candidates-biography,census,diversity,elections","assistant

The 18th congressional district in Houston has undergone significant demographic changes, resulting in a shift in the racial composition of the area, with a higher proportion of Anglo residents compared to African Americans."
True,The Hyde Amendmentlanguage was in the (human trafficking) bill . The Democratic sponsor admits it was in the bill and she voted for it .,"abortion,bipartisanship","assistant

The Hyde Amendment language was included in the human trafficking bill. The Democratic sponsor confirms that the language was part of the bill and she voted in favor of it."
True,Says Joe Heck voted 10 times to defund Planned Parenthood . and Heck opposes a womans right to choose even when her health is at risk .,abortion,"assistant

Joe Heck voted 10 times to defund Planned Parenthood. He also opposes a woman's right to choose in cases where her health is at risk."
False,Stimulus tax cuts began showing up in paychecks of 4.8 million Indiana households about three months ago .,"stimulus,taxes","assistant

Stimulus tax cuts started appearing in the paychecks of approximately 4.8 million Indiana households about three months ago."
True,Says Hillary Clinton called the Trans-Pacific Partnership the gold standard . You called it the gold standard of trade deals . You said its the finest deal youve ever seen .,"candidates-biography,economy,foreign-policy,history,trade","assistant

Hillary Clinton referred to the Trans-Pacific Partnership as a significant trade agreement, while Donald Trump described it as the gold standard of trade deals, stating it was the finest deal he had seen."
True,Bernie Sanders voted against the Brady Bill - background checks and waiting periods .,"guns,voting-record","assistant

Bernie Sanders voted against the Brady Bill, which included provisions for background checks and waiting periods."
False,Says Charlie Crist and Missouri Rep . Todd Akin hold same abortion views . No exception except the life of the mother .,"abortion,candidates-biography","assistant

Charlie Crist and Missouri Rep. Todd Akin share similar views on abortion, with the exception of allowing it in cases where the mother's life is at risk."
True,Barack Obama has doubled our national debt . Doubled it . Its going to be close to $20 trillion when he leaves .,"debt,economy","assistant

Barack Obama's presidency saw a significant increase in the national debt, which is expected to be approximately $20 trillion when he left office."
False,Say Matt Wand cut Troutdale police created a slush fund for himself .,"crime,ethics,public-safety","assistant

Matt Wand allegedly created a slush fund while serving as a police officer in Troutdale."
False,Were second only to Boston in college students per capita .,education,"assistant

Had the second-highest number of college students per capita compared to Boston."
False,Not even expensive bottled water like Perrier and Evian are of good enough quality to pump out of mines in Southwest Virginia according to the EPA regulation .,environment,"assistant

According to the EPA regulation, bottled water from sources such as Perrier and Evian may not meet the quality standards for water pumped from mines in Southwest Virginia."
False,Obama Declares November National Muslim Appreciation Month .,"islam,religion","assistant

In 2010, President Barack Obama issued a statement declaring November as National Muslim Appreciation and Awareness Month."
False,Says Catherine Cortez Masto was happy to line her own pockets with taxpayer dollars when state employees were slammed with frozen salaries .,candidates-biography,"assistant

Catherine Cortez Masto accepted a salary increase while state employees experienced frozen salaries."
False,Under Obamacare The IRS will have access to the American peoples protected health care information .,"health-care,taxes","assistant

Under the Affordable Care Act (ACA), the Internal Revenue Service (IRS) will have access to certain health care information."
True,Mike Martinez has voted to raise taxes and utility rates while ending free bus service for seniors .,"taxes,transportation,voting-record","assistant

Mike Martinez has voted to increase taxes and utility rates, and to discontinue free bus service for seniors."
True,Ohio has one of the highest provisional ballot rates in the country and many of them go uncounted each election .,elections,"assistant

Ohio has one of the highest provisional ballot rates in the country, with a significant number of these ballots going uncounted in each election."
True,Rand Paul wants to end all federal faith-based initiatives and even end the deduction for religious charities .,"message-machine,religion,taxes","assistant

Rand Paul has proposed eliminating federal funding for faith-based initiatives and eliminating the tax deduction for charitable donations to religious organizations."
True,Homicides last year increased by 17 percent in Americas 50 largest cities . Thats the largest increase in 25 years .,"crime,criminal-justice","assistant

Homicide rates in the 50 largest cities in the United States increased by 17 percent last year. This marks the largest increase in 25 years."
True,The Canadians they (dropped) their tax rates to 15 percent . The average tax rate on businesses in the industrialized world is 25 percent .,taxes,"assistant

Canada lowered its corporate tax rate to 15 percent. The average corporate tax rate in the industrialized world is 25 percent."
False,White men account for 69 percent of those arrested for violent crimes .,crime,"assistant

According to available data, approximately 69 percent of individuals arrested for violent crimes are male."
True,We know that tax cuts are remarkably un-stimulative when you compare them with different kinds of government spending .,"economy,pundits,stimulus,taxes","assistant

Tax cuts have been found to have varying levels of effectiveness in stimulating the economy compared to different types of government spending."
False,The climate-change agreement between the United States and China requires the Chinese to do nothing at all for 16 years .,"china,climate-change,environment,foreign-policy","assistant

The climate-change agreement between the United States and China includes a provision that allows China to implement its emissions reduction commitments over a period of 16 years."
True,Says in fiscal year 2011 the state had a projected $11 billion deficit .,"deficit,state-budget,state-finances","assistant

The state's projected budget for fiscal year 2011 indicated a deficit of $11 billion."
False,Wisconsin election officials to accept Mickey Mouse Hitler signatures on recall petitions .,"elections,legal-issues","assistant

Wisconsin election officials will accept signatures from individuals with the name ""Mickey Mouse"" and ""Hitler"" on recall petitions."
True,I wrote to Secretary Paulson I wrote to Federal Reserve Chairman Bernanke [in March 2007] and told them this is something we have to deal with and nobody did anything about it .,economy,"assistant

I wrote to Secretary Paulson and Federal Reserve Chairman Bernanke in March 2007, expressing concerns about the issue, but no action was taken."
True,The Great Wall of China built 2000 years ago is 13000 miles (long).,history,"assistant

The Great Wall of China, constructed over a period of time spanning more than 2,000 years, has a total length of approximately 13,170 miles."
True,When the Dallas/Fort Worth Airport needed to stop its earthquake spike a few years ago they temporarily shut down the wells that were injecting fracking fluid into the ground . (and) those earthquakes stopped .,"energy,environment","assistant

The Dallas/Fort Worth Airport experienced a series of earthquakes in the past, which prompted the decision to temporarily halt the injection of fracking fluid into the ground. This action resulted in a decrease in seismic activity."
False,Says Supreme Court candidate JoAnne Kloppenburgs record as a state Justice Department lawyer consists only of the prosecution of cases regarding regulation of docks .,"candidates-biography,environment,legal-issues","assistant

Supreme Court candidate JoAnne Kloppenburg's experience as a state Justice Department lawyer primarily involved the prosecution of cases related to dock regulation."
True,One half of federal spending goes to Social Security Medicare and Medicaid while the other half goes to other programs funded with money borrowed from a foreign land .,federal-budget,"assistant

Approximately half of federal spending is allocated to Social Security, Medicare, and Medicaid, while the remaining half is allocated to other programs."
True,Medicare began as a public option and now holds 97 percent of the market share .,"health-care,medicare","assistant

Medicare currently dominates the market share with approximately 97 percent of the market."
True,Says Sen . Mitch McConnell is the No . 1 recipient of contributions from lobbyists this cycle .,"campaign-finance,congress,campaign-advertising","assistant

Senator Mitch McConnell is the top recipient of contributions from lobbyists in this election cycle."
True,98 percent of small businesses make less than $250000 and would not see a tax increase under Barack Obama s plan .,taxes,"assistant

According to available data, approximately 98% of small businesses have annual revenues below $250,000."
False,The leading Democratic candidate once said that the unfettered free market is the most destructive force in modern America .,economy,"assistant

The leading Democratic candidate has stated that the unregulated free market can have a significant negative impact on modern America."
True,Says the American public overwhelmingly opposed Democratic-steered health care plan .,health-care,"assistant

The American public has expressed opposition to the Democratic-steered health care plan."
True,Says Dan Patrick supported giving a $5000 taxpayer-funded voucher to every family to buy a car .,"families,federal-budget,transportation","assistant

Dan Patrick proposed providing a $5000 voucher to families to help with the purchase of a vehicle."
